núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,tipo_veh,marca_veh,int_o_noint
173,2019,5,7,2,1,1,6,1,101,1,1,28,4,4,6,1,4,2007,4,1,2,4,67,1
174,2019,5,2,1,1,1,6,1,101,5,2,32,5,5,7,1,2,2018,5,1,2,1,28,1
175,2019,5,11,2,1,1,6,1,101,5,1,34,5,5,7,1,5,9999,99,1,2,4,32,1
176,2019,5,13,3,2,1,6,1,101,13,1,25,4,4,6,1,3,2015,5,1,2,4,27,1
177,2019,5,8,2,1,1,6,1,114,99,1,30,5,5,7,1,7,9999,99,1,2,4,6,1
178,2019,5,16,3,2,1,6,1,115,99,2,999,16,12,18,1,99,9999,99,1,2,4,999,1
179,2019,5,15,3,2,1,6,1,108,99,2,24,3,3,5,1,5,9999,99,1,2,4,999,1
180,2019,5,21,4,3,1,6,1,108,99,1,19,2,2,4,1,5,2012,5,1,2,4,72,1
181,2019,5,21,4,3,1,6,1,108,99,2,18,2,2,4,1,5,2012,5,1,2,4,72,1
182,2019,5,5,1,1,1,6,5,509,99,1,43,7,7,9,1,1,9999,99,1,2,4,27,1
183,2019,5,5,1,1,1,6,5,509,99,1,23,3,3,5,1,5,9999,99,1,2,4,6,1
184,2019,5,23,4,3,1,6,6,601,99,1,32,5,5,7,1,1,1990,3,1,2,3,56,1
185,2019,5,23,4,3,1,6,6,601,99,2,30,5,5,7,1,1,1990,3,1,2,3,56,1
186,2019,5,20,4,3,1,6,10,1001,99,1,30,5,5,7,1,3,9999,99,1,1,4,6,2
187,2019,5,18,4,3,1,6,12,1210,99,1,23,3,3,5,1,5,9999,99,1,2,4,18,1
188,2019,5,18,4,3,1,6,18,1801,99,1,25,4,4,6,1,99,9999,99,1,1,4,999,1
189,2019,5,18,4,3,1,6,18,1801,99,1,15,2,2,4,2,99,9999,99,1,1,4,999,1
190,2019,5,18,4,3,1,6,18,1801,99,1,20,3,3,5,1,99,9999,99,1,1,4,999,1
191,2019,5,13,3,2,1,6,18,1801,99,2,16,2,2,4,2,5,9999,99,6,2,4,6,1
192,2019,5,21,4,3,1,6,17,1712,99,1,36,6,6,8,1,1,9999,99,1,2,4,18,1
193,2019,5,21,4,3,1,6,17,1712,99,1,21,3,3,5,1,1,9999,99,1,2,4,67,1
194,2019,5,21,4,3,1,6,17,1712,99,1,26,4,4,6,1,1,9999,99,1,2,4,18,1
195,2019,5,21,4,3,1,6,17,1712,99,2,32,5,5,7,1,1,9999,99,1,2,4,67,1
196,2019,5,21,4,3,1,6,17,1712,99,1,26,4,4,6,1,1,9999,99,1,2,4,67,1
197,2019,5,21,4,3,1,6,17,1712,99,2,999,16,12,18,2,1,9999,99,1,2,4,18,1
198,2019,6,16,3,2,1,7,20,2001,99,1,18,2,2,4,1,1,9999,99,1,2,4,67,1
199,2019,6,11,2,1,1,7,18,1801,99,2,33,5,5,7,1,99,9999,99,4,1,4,999,2
200,2019,6,21,4,3,1,7,1,101,12,2,55,10,10,12,1,5,9999,99,1,2,1,27,1
201,2019,6,21,4,3,1,7,1,101,12,2,27,4,4,6,1,5,9999,99,1,2,1,27,1
202,2019,6,21,4,3,1,7,1,101,12,1,29,4,4,6,1,5,9999,99,1,2,1,27,1
203,2019,6,16,3,2,1,7,1,105,99,1,28,4,4,6,1,1,9999,99,4,2,4,32,1
204,2019,6,19,4,3,1,7,1,101,6,2,55,10,10,12,1,99,9999,99,2,2,1,999,1
205,2019,6,19,4,3,1,7,1,101,6,2,19,2,2,4,1,99,9999,99,2,2,1,999,1
206,2019,6,20,4,3,1,7,4,415,99,2,28,4,4,6,1,99,9999,99,2,2,4,999,2
207,2019,6,20,4,3,1,7,4,415,99,2,19,2,2,4,1,99,9999,99,2,2,4,999,2
208,2019,6,20,4,3,1,7,4,415,99,1,47,8,8,10,1,99,9999,99,2,2,4,999,2
209,2019,7,15,3,2,1,1,4,415,99,2,44,7,7,9,1,2,1994,3,1,2,12,30,1
210,2019,7,3,1,1,1,1,3,307,99,1,999,16,12,18,1,3,9999,99,2,1,4,999,2
211,2019,7,21,4,3,1,1,11,1101,99,1,28,4,4,6,1,5,9999,99,1,2,4,27,1
212,2019,8,18,4,3,1,2,5,502,99,1,23,3,3,5,1,2,2015,5,4,2,4,27,1
213,2019,8,0,1,1,1,2,1,101,13,2,36,6,6,8,1,99,9999,99,1,2,4,67,1
214,2019,8,17,3,2,1,2,1,101,7,1,46,8,8,10,1,1,9999,99,2,2,12,999,1
215,2019,8,21,4,3,1,2,1,101,18,1,28,4,4,6,1,2,9999,99,4,2,4,3,1
216,2019,8,17,3,2,1,2,4,401,99,1,23,3,3,5,1,5,9999,99,1,2,4,32,1
217,2019,8,14,3,2,1,2,1,101,9,2,18,2,2,4,1,3,9999,99,1,2,4,6,1
218,2019,8,0,1,1,1,2,1,110,99,1,38,6,6,8,1,1,9999,99,1,1,4,32,2
