﻿num_corre,año_ocu,día_ocu,hora_ocu,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,g_hora
68,2022,5,12,Tarde,Enero,Miercoles,Guatemala,Villa Nueva,Ignorada,Cami?n,Hyundai,Azul,Ignorado,Ignorado,Choque,3
69,2022,5,19,Noche,Enero,Miercoles,Jutiapa,El Progreso,Ignorada,Motocicleta,Suzuki,Rojo,Ignorado,Ignorado,Colisi?n,4
70,2022,5,14,Tarde,Enero,Miercoles,Escuintla,Santa Luc?a Cotzumalguapa,Ignorada,Cabezal,Freightliner,Café,1996,1990-1999,Colisi?n,3
71,2022,5,20,Noche,Enero,Miercoles,Escuintla,Escuintla,Ignorada,Motocicleta,Haojue,Negro,Ignorado,Ignorado,Choque,4
72,2022,5,15,Tarde,Enero,Miercoles,Santa Rosa,Barberena,Ignorada,Cami?n,Isuzu,Blanco,Ignorado,Ignorado,Colisi?n,3
73,2022,5,17,Tarde,Enero,Miercoles,Suchitep?quez,Mazatenango,Ignorada,Cabezal,Freightliner,Rojo,2012,2010-2019,Colisi?n,3
74,2022,5,0,Ma?ana,Enero,Miercoles,Quetzaltenango,Salcaj?,Ignorada,Pick up,Mazda,Gris,Ignorado,Ignorado,Colisi?n,1
75,2022,5,6,Ma?ana,Enero,Miercoles,Quetzaltenango,Quetzaltenango,Ignorada,Cabezal,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,2
76,2022,5,18,Noche,Enero,Miercoles,Alta Verapaz,Cob?n,Ignorada,Autom?vil,Toyota,Negro,Ignorado,Ignorado,Colisi?n,4
77,2022,5,18,Noche,Enero,Miercoles,Alta Verapaz,Tactic,Ignorada,Motocicleta,Hero Hunk,Rojo,Ignorado,Ignorado,Derrape,4
78,2022,5,4,Ma?ana,Enero,Miercoles,Quich?,Chicam?n,Ignorada,Motocicleta,Bajaj,Rojo,Ignorado,Ignorado,Choque,1
79,2022,5,18,Noche,Enero,Miercoles,Chimaltenango,Patzic?a,Ignorada,Cami?n,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,4
80,2022,6,18,Noche,Enero,Jueves,Guatemala,Guatemala,18,Autom?vil,Hyundai,Blanco,2015,2010-2019,Colisi?n,4
81,2022,6,7,Ma?ana,Enero,Jueves,Guatemala,Guatemala,12,Camioneta,Hyundai,Negro,2006,2000-2009,Colisi?n,2
82,2022,6,8,Ma?ana,Enero,Jueves,Guatemala,Guatemala,21,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,2
83,2022,6,7,Ma?ana,Enero,Jueves,Guatemala,Villa Nueva,3,Motocicleta,Bajaj,Negro,2012,2010-2019,Colisi?n,2
84,2022,6,20,Noche,Enero,Jueves,Jutiapa,Jutiapa,Ignorada,Cami?n,Internacional,Blanco,Ignorado,Ignorado,Colisi?n,4
85,2022,6,10,Ma?ana,Enero,Jueves,Chiquimula,Chiquimula,Ignorada,Pick up,Toyota,Rojo,Ignorado,Ignorado,Colisi?n,2
86,2022,6,6,Ma?ana,Enero,Jueves,Santa Rosa,Cuilapa,Ignorada,Motocicleta,Bajaj,Azul,2018,2010-2019,Derrape,2
87,2022,6,17,Tarde,Enero,Jueves,Suchitep?quez,San Pablo Jocopilas,Ignorada,Pick up,Mazda,Gris,2013,2010-2019,Colisi?n,3
88,2022,6,15,Tarde,Enero,Jueves,Izabal,Los Amates,Ignorada,Pick up,Toyota,Gris,Ignorado,Ignorado,Colisi?n,3
89,2022,6,0,Ma?ana,Enero,Jueves,Sacatep?quez,Antigua Guatemala,Ignorada,Autom?vil,Toyota,Gris,Ignorado,Ignorado,Choque,1
90,2022,6,17,Tarde,Enero,Jueves,Sacatep?quez,Ciudad Vieja,Ignorada,Motocicleta,Suzuki,Ignorado,Ignorado,Ignorado,Colisi?n,3
91,2022,7,6,Ma?ana,Enero,Viernes,Guatemala,Guatemala,1,Autom?vil,Honda,Blanco,2012,2010-2019,Colisi?n,2
92,2022,7,6,Ma?ana,Enero,Viernes,Guatemala,Guatemala,18,Camioneta,Honda,Negro,2008,2000-2009,Colisi?n,2
93,2022,7,10,Ma?ana,Enero,Viernes,Guatemala,Guatemala,10,Autom?vil,Volkswagen,Beige,2012,2010-2019,Colisi?n,2
94,2022,7,23,Noche,Enero,Viernes,Guatemala,Guatemala,16,Camioneta,Honda,Azul,2012,2010-2019,Colisi?n,4
95,2022,7,21,Noche,Enero,Viernes,Guatemala,Guatemala,10,Motocicleta,Serpento,Negro,Ignorado,Ignorado,Colisi?n,4
96,2022,7,17,Tarde,Enero,Viernes,Zacapa,Usumatl?n,Ignorada,Pick up,Ignorado,Ignorado,1993,1990-1999,Choque,3
97,2022,7,10,Ma?ana,Enero,Viernes,Escuintla,Escuintla,Ignorada,Cami?n,Hino,Blanco,Ignorado,Ignorado,Vuelco,2
98,2022,7,0,Ma?ana,Enero,Viernes,Santa Rosa,Guazacap?n,Ignorada,Panel,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,1
99,2022,7,5,Ma?ana,Enero,Viernes,Santa Rosa,Cuilapa,Ignorada,Autom?vil,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,1
100,2022,7,22,Noche,Enero,Viernes,Suchitep?quez,Mazatenango,Ignorada,Autom?vil,Toyota,Azul,Ignorado,Ignorado,Colisi?n,4
101,2022,7,3,Ma?ana,Enero,Viernes,Quetzaltenango,Quetzaltenango,3,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Derrape,1
102,2022,7,6,Ma?ana,Enero,Viernes,San Marcos,Catarina,Ignorada,Pick up,Toyota,Negro,Ignorado,Ignorado,Colisi?n,2
103,2022,7,20,Noche,Enero,Viernes,Huehuetenango,Huehuetenango,Ignorada,Pick up,Toyota,Azul,1995,1990-1999,Vuelco,4
104,2022,7,12,Tarde,Enero,Viernes,Totonicap?n,Santa Mar?a Chiquimula,Ignorada,Autom?vil,Ford,Ignorado,1989,1980-1989,Choque,3
105,2022,7,0,Ma?ana,Enero,Viernes,Alta Verapaz,Fray Bartolom? de las Casas,Ignorada,Camioneta,Ignorado,Rojo,Ignorado,Ignorado,Colisi?n,1
106,2022,7,7,Ma?ana,Enero,Viernes,El Progreso,Sanarate,Ignorada,Autom?vil,Honda,Verde,Ignorado,Ignorado,Vuelco,2
107,2022,7,0,Ma?ana,Enero,Viernes,Izabal,Puerto Barrios,Ignorada,Cabezal,Freightliner,Rojo,1998,1990-1999,Colisi?n,1
108,2022,7,15,Tarde,Enero,Viernes,Pet?n,Popt?n,Ignorada,Cami?n,Isuzu,Blanco,2017,2010-2019,Colisi?n,3
109,2022,7,11,Ma?ana,Enero,Viernes,Chimaltenango,El Tejar,Ignorada,Camioneta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,2
110,2022,8,14,Tarde,Enero,Sabado,Guatemala,Guatemala,18,Cabezal,Freightliner,Blanco,2002,2000-2009,Colisi?n,3
111,2022,8,17,Tarde,Enero,Sabado,Guatemala,Palencia,Ignorada,Motocicleta,Suzuki,Rojo,Ignorado,Ignorado,Derrape,3
112,2022,8,7,Ma?ana,Enero,Sabado,Guatemala,Guatemala,10,Pick up,Toyota,Negro,2022,2020-2029,Colisi?n,2
113,2022,8,15,Tarde,Enero,Sabado,Guatemala,Guatemala,7,Pick up,Nissan,Rojo,1990,1990-1999,Colisi?n,3
114,2022,8,7,Ma?ana,Enero,Sabado,Guatemala,Villa Canales,3,Motocicleta,TVS Apache,Negro,Ignorado,Ignorado,Colisi?n,2
115,2022,8,11,Ma?ana,Enero,Sabado,Guatemala,Villa Nueva,6,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,2
116,2022,8,20,Noche,Enero,Sabado,Guatemala,Mixco,8,Camioneta,Honda,Gris,2013,2010-2019,Colisi?n,4
117,2022,8,21,Noche,Enero,Sabado,Guatemala,Mixco,10,Motocicleta,Suzuki,Negro,2021,2020-2029,Colisi?n,4
118,2022,8,18,Noche,Enero,Sabado,Guatemala,Mixco,8,Pick up,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,4
119,2022,8,0,Ma?ana,Enero,Sabado,Jutiapa,San Jos? Acatempa,Ignorada,Cami?n,Ignorado,Ignorado,Ignorado,Ignorado,Colisi?n,1
120,2022,8,14,Tarde,Enero,Sabado,Jutiapa,Asunci?n Mita,Ignorada,Pick up,Toyota,Gris,Ignorado,Ignorado,Colisi?n,3
121,2022,8,22,Noche,Enero,Sabado,San Marcos,Tejutla,Ignorada,Cami?n,Mercedes Benz,Blanco,Ignorado,Ignorado,Colisi?n,4
122,2022,8,13,Tarde,Enero,Sabado,Totonicap?n,San Crist?bal Totonicap?n,Ignorada,Microb?s,Toyota,Verde,Ignorado,Ignorado,Colisi?n,3
123,2022,8,2,Ma?ana,Enero,Sabado,Baja Verapaz,Salam?,Ignorada,Motocicleta,Ignorado,Negro,Ignorado,Ignorado,Derrape,1
124,2022,8,19,Noche,Enero,Sabado,Baja Verapaz,San Jer?nimo,Ignorada,Pick up,Ignorado,Beige,Ignorado,Ignorado,Colisi?n,4
125,2022,8,17,Tarde,Enero,Sabado,Chimaltenango,Chimaltenango,1,Motocicleta,Bajaj,Rojo,2010,2010-2019,Derrape,3
