Núm_corre,Año_ocu,Día_ocu,Hora_ocu,g_hora,g_hora_5,Mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,estado_con,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve
122,2020,9,8,2,1,1,4,1,101,1,1,30,5,5,7,1,1,4,2,1,2015,5,1
123,2020,9,23,4,3,1,4,1,101,1,1,30,5,5,7,1,1,4,27,5,2012,5,1
124,2020,9,23,4,3,1,4,1,101,1,1,28,4,4,6,1,1,4,6,4,2015,5,1
125,2020,9,16,3,2,1,4,1,101,6,1,30,5,5,7,2,1,4,6,1,2012,5,1
126,2020,9,16,3,2,1,4,1,101,6,1,30,5,5,7,1,1,4,32,5,2012,5,1
127,2020,9,2,1,1,1,4,1,102,99,1,24,3,3,5,2,1,1,48,4,1999,3,2
128,2020,9,21,4,3,1,4,1,102,99,1,999,16,12,18,1,1,5,17,14,9999,99,1
129,2020,9,21,4,3,1,4,1,102,99,1,39,6,6,8,1,1,2,52,99,9999,99,1
130,2020,9,21,4,3,1,4,1,102,99,1,49,8,8,10,1,1,1,52,99,9999,99,1
131,2020,9,7,2,1,1,4,1,115,99,1,37,6,6,8,1,1,1,69,5,1998,3,1
132,2020,9,7,2,1,1,4,1,115,99,1,27,4,4,6,1,1,4,2,4,2019,5,1
133,2020,9,17,3,2,1,4,20,2002,99,1,33,5,5,7,2,1,4,6,1,2009,4,2
134,2020,9,13,3,2,1,4,5,502,99,1,18,2,2,4,1,1,4,67,3,2018,5,1
135,2020,9,13,3,2,1,4,5,502,99,1,28,4,4,6,1,1,2,31,6,1997,3,1
136,2020,9,9,2,1,1,4,13,1326,99,1,26,4,4,6,2,1,14,6,1,9999,99,7
137,2020,9,1,1,1,1,4,16,1617,99,1,42,7,7,9,2,1,3,69,2,2010,5,1
138,2020,9,1,1,1,1,4,16,1617,99,1,30,5,5,7,1,1,8,999,99,9999,99,1
139,2020,9,1,1,1,1,4,9,901,99,1,21,3,3,5,1,1,1,27,14,1997,3,1
140,2020,9,20,4,3,1,4,5,501,99,1,30,5,5,7,1,1,4,999,99,9999,99,1
141,2020,9,21,4,3,1,4,1,101,9,1,34,5,5,7,1,1,4,3,1,2012,5,6
