Núm_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint
163,2020,12,22,4,3,1,7,1,115,99,1,32,5,5,7,1,4,5,5,9999,99,1,2,1
164,2020,12,22,4,3,1,7,1,115,99,1,26,4,4,6,1,4,999,99,9999,99,2,2,1
165,2020,12,1,1,1,1,7,22,2201,99,2,44,7,7,9,1,3,56,7,9999,99,3,2,1
166,2020,12,1,1,1,1,7,22,2201,99,2,45,8,8,10,1,3,56,7,9999,99,3,2,2
167,2020,12,1,1,1,1,7,22,2201,99,1,36,6,6,8,1,3,56,7,9999,99,3,2,2
168,2020,12,1,1,1,1,7,22,2201,99,2,20,3,3,5,1,3,56,7,9999,99,3,2,2
169,2020,12,19,4,3,1,7,19,1901,99,1,24,3,3,5,1,4,67,5,2016,5,6,2,1
170,2020,12,15,3,2,1,7,5,509,99,1,22,3,3,5,1,4,103,2,9999,99,1,1,2
171,2020,12,20,4,3,1,7,5,509,99,2,18,2,2,4,1,4,190,5,9999,99,1,2,1
172,2020,12,20,4,3,1,7,5,509,99,1,19,2,2,4,1,4,67,5,9999,99,1,2,1
173,2020,12,4,1,1,1,7,6,608,99,1,999,16,12,18,1,4,999,5,9999,99,1,1,2
174,2020,12,19,4,3,1,7,10,1002,99,2,33,5,5,7,1,4,6,99,2013,5,1,2,1
175,2020,12,14,3,2,1,7,11,1101,99,1,43,7,7,9,1,4,999,5,9999,99,1,2,1
176,2020,12,17,3,2,1,7,11,1101,99,1,24,3,3,5,1,4,999,5,9999,99,1,2,1
177,2020,12,17,3,2,1,7,11,1101,99,1,29,4,4,6,1,4,999,3,2019,5,1,2,1
178,2020,12,5,1,1,1,7,12,1201,99,1,999,16,12,18,1,4,6,5,9999,99,1,2,2
179,2020,12,15,3,2,1,7,15,1501,99,1,23,3,3,5,1,4,54,1,2018,5,6,2,1
180,2020,12,22,4,3,1,7,2,203,99,1,24,3,3,5,1,4,67,4,9999,99,1,2,1
181,2020,12,22,4,3,1,7,2,203,99,2,22,3,3,5,1,4,27,1,9999,99,1,2,1
182,2020,12,22,4,3,1,7,2,203,99,1,20,3,3,5,1,4,999,99,9999,99,1,2,1
183,2020,12,22,4,3,1,7,2,203,99,2,999,16,12,18,1,4,999,99,9999,99,1,2,1
184,2020,12,22,4,3,1,7,2,203,99,2,999,16,12,18,1,4,999,99,9999,99,1,1,2
185,2020,12,18,4,3,1,7,18,1803,99,1,25,4,4,6,1,3,69,9,1992,3,1,2,1
186,2020,12,0,1,1,1,7,14,1412,99,2,30,5,5,7,1,4,67,5,9999,99,1,2,1
187,2020,13,14,3,2,1,1,1,101,1,1,26,4,4,6,1,4,6,1,2020,6,1,2,1
188,2020,13,3,1,1,1,1,1,101,12,1,34,5,5,7,1,4,67,5,9999,99,1,2,1
189,2020,13,12,3,2,1,1,1,117,99,2,20,3,3,5,1,4,32,1,9999,99,1,2,1
190,2020,13,10,2,1,1,1,1,114,99,1,39,6,6,8,1,3,999,99,9999,99,1,1,2
191,2020,13,10,2,1,1,1,1,114,99,1,32,5,5,7,1,3,999,99,9999,99,1,1,2
192,2020,13,0,1,1,1,1,21,2105,99,2,38,6,6,8,1,1,999,4,9999,99,1,2,1
193,2020,13,0,1,1,1,1,21,2105,99,1,7,1,1,2,2,1,999,4,9999,99,1,2,1
194,2020,13,0,1,1,1,1,21,2105,99,2,42,7,7,9,1,1,999,4,9999,99,1,2,1
195,2020,13,0,1,1,1,1,21,2105,99,2,38,6,6,8,1,1,999,4,9999,99,1,2,1
196,2020,13,0,1,1,1,1,21,2105,99,1,38,6,6,8,1,1,999,4,9999,99,1,2,1
197,2020,13,0,1,1,1,1,21,2105,99,1,64,11,11,13,1,1,999,4,9999,99,1,2,1
198,2020,13,10,2,1,1,1,5,513,99,1,20,3,3,5,1,4,27,2,9999,99,1,2,1
199,2020,13,7,2,1,1,1,6,601,99,1,30,5,5,7,1,4,32,99,9999,99,1,2,1
200,2020,13,20,4,3,1,1,13,1308,99,1,17,2,2,4,2,4,27,1,9999,99,1,2,1
201,2020,13,9,2,1,1,1,18,1801,99,2,65,12,11,14,1,4,77,5,9999,99,1,2,1
202,2020,13,15,3,2,1,1,4,401,99,2,26,4,4,6,1,4,67,3,2018,5,1,2,1
203,2020,13,15,3,2,1,1,3,308,99,1,17,2,2,4,2,1,48,4,2004,4,3,2,1
204,2020,13,15,3,2,1,1,3,308,99,1,17,2,2,4,2,1,48,4,2004,4,3,2,1
205,2020,14,4,1,1,1,2,1,101,9,2,37,6,6,8,1,9,28,6,2003,4,1,2,1
206,2020,14,4,1,1,1,2,1,101,9,2,43,7,7,9,1,9,28,6,2003,4,1,2,1
207,2020,14,4,1,1,1,2,1,101,9,1,6,1,1,2,2,9,28,6,2003,4,1,2,1
