﻿﻿num_corre,año_ocu,día_ocu,hora_ocu,g_hora,g_hora_5,mes_ocu,día_sem_ocu,depto_ocu,mupio_ocu,zona_ocu,sexo_per,edad_per,g_edad_80ymás,g_edad_60ymás,edad_quinquenales,mayor_menor,tipo_veh,marca_veh,color_veh,modelo_veh,g_modelo_veh,tipo_eve,fall_les,int_o_noint,tipo_eve_cod
2236,2022,17,11,06:00 a 11:59,Mañana,3,Jueves,Quiché,Ixcán,Ignorado,Hombre,19,15-19,15-19,15 - 19,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Fallecido,No internado,1
2237,2022,17,15,12:00 a 17:59,Tarde,3,Jueves,Chimaltenango,Chimaltenango,1,Hombre,54,50-54,50-54,50 - 54,Mayor,Motocicleta,Italika,Rojo,2020,2020-2029,1,Lesionado,Internado,1
2238,2022,18,2,00:00 a 05:59,Mañana,3,Viernes,Guatemala,Guatemala,6,Hombre,26,25-29,25-29,25 - 29,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2239,2022,18,18,18:00 a 23:59,Noche,3,Viernes,Guatemala,Guatemala,14,Hombre,21,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2240,2022,18,18,18:00 a 23:59,Noche,3,Viernes,Guatemala,Guatemala,14,Mujer,44,40-44,40-44,40 - 44,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2241,2022,18,21,18:00 a 23:59,Noche,3,Viernes,Guatemala,Villa Canales,Ignorado,Hombre,25,25-29,25-29,25 - 29,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Fallecido,No internado,1
2242,2022,18,19,18:00 a 23:59,Noche,3,Viernes,Guatemala,Villa Canales,Ignorado,Hombre,20,20-24,20-24,20 - 24,Mayor,Motocicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2243,2022,18,21,18:00 a 23:59,Noche,3,Viernes,Guatemala,Mixco,6,Hombre,23,20-24,20-24,20 - 24,Mayor,Motocicleta,Bajaj,Negro,2017,2010-2019,1,Lesionado,Internado,1
2244,2022,18,19,18:00 a 23:59,Noche,3,Viernes,Escuintla,Tiquisate,Ignorado,Mujer,30,30-34,30-34,30 - 34,Mayor,Motocicleta,Haojue,Azul,2019,2010-2019,1,Fallecido,No internado,1
2245,2022,18,16,12:00 a 17:59,Tarde,3,Viernes,Guatemala,Mixco,4,Hombre,16,15-19,15-19,15 - 19,Menor,Bicicleta,Ignorado,Ignorado,Ignorado,Ignorado,1,Lesionado,Internado,1
2246,2022,18,19,18:00 a 23:59,Noche,3,Viernes,Escuintla,Siquinalá,Ignorado,Hombre,54,50-54,50-54,50 - 54,Mayor,Bus extraurbano,Internacional,Amarillo,Ignorado,Ignorado,1,Lesionado,Internado,1
2247,2022,18,19,18:00 a 23:59,Noche,3,Viernes,Escuintla,Siquinalá,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Bus extraurbano,Internacional,Amarillo,Ignorado,Ignorado,1,Lesionado,Internado,1
2248,2022,18,19,18:00 a 23:59,Noche,3,Viernes,Escuintla,Siquinalá,Ignorado,Hombre,26,25-29,25-29,25 - 29,Mayor,Bus extraurbano,Internacional,Amarillo,Ignorado,Ignorado,1,Lesionado,Internado,1
2249,2022,18,19,18:00 a 23:59,Noche,3,Viernes,Escuintla,Siquinalá,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,Suzuki,Rojo,Ignorado,Ignorado,1,Lesionado,Internado,1
2250,2022,18,23,18:00 a 23:59,Noche,3,Viernes,Escuintla,Escuintla,Ignorado,Hombre,21,20-24,20-24,20 - 24,Mayor,Motocicleta,Yamaha,Negro,Ignorado,Ignorado,1,Lesionado,Internado,1
2251,2022,18,22,18:00 a 23:59,Noche,3,Viernes,Petén,San Benito,Ignorado,Hombre,27,25-29,25-29,25 - 29,Mayor,Motocicleta,Italika,Blanco,Ignorado,Ignorado,6,Lesionado,Internado,6
2252,2022,18,19,18:00 a 23:59,Noche,3,Viernes,Petén,Flores,Ignorado,Hombre,36,35-39,35-39,35 - 39,Mayor,Camión,Ignorado,Azul,Ignorado,Ignorado,1,Fallecido,No internado,1
2253,2022,18,19,18:00 a 23:59,Noche,3,Viernes,Petén,San Andrés,Ignorado,Hombre,30,30-34,30-34,30 - 34,Mayor,Motocicleta,Italika,Rojo,Ignorado,Ignorado,1,Fallecido,No internado,1
2254,2022,18,23,18:00 a 23:59,Noche,3,Viernes,Sacatepéquez,Antigua Guatemala,Ignorado,Hombre,23,20-24,20-24,20 - 24,Mayor,Motocicleta,TVS Apache,Gris,Ignorado,Ignorado,1,Lesionado,Internado,1
2255,2022,18,23,18:00 a 23:59,Noche,3,Viernes,Sacatepéquez,Antigua Guatemala,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Motocicleta,X-bow KRM,Negro,Ignorado,Ignorado,6,Fallecido,No internado,6
2256,2022,18,9,06:00 a 11:59,Mañana,3,Viernes,Sacatepéquez,San Lucas Sacatepéquez,Ignorado,Hombre,26,25-29,25-29,25 - 29,Mayor,Motocicleta,Bajaj,Negro,Ignorado,Ignorado,1,Lesionado,Internado,1
2257,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2258,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
2259,2022,18,13,12:00 a 17:59,Tarde,3,Viernes,Sacatepéquez,Sumpango,Ignorado,Hombre,Ignorada,Ignorado,Ignorado,Ignorado,Ignorado,Bus extraurbano,Internacional,Rojo,Ignorado,Ignorado,99,Lesionado,Internado,99
